time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-18 00:00:00+00:00,1,1,0,0
2022-11-23 00:00:00+00:00,1,1,0,0
2022-11-28 00:00:00+00:00,20,10,76,1
2022-11-29 00:00:00+00:00,20,4,10,1
2022-11-30 00:00:00+00:00,1,1,1,1
