time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-19 00:00:00+00:00,18,8,40.0,1.0
2024-02-26 00:00:00+00:00,1,1,,
2024-02-29 00:00:00+00:00,18,6,25.0,1.0
2024-03-01 00:00:00+00:00,4,4,3.0,1.0
2024-03-02 00:00:00+00:00,1,1,,
