url_path,views_total,views_unique
/plantepidemics/plantepidemics.github.io/tree/databranch-test/plantepidemics/plantepidemics.github.io,12,1
/plantepidemics/plantepidemics.github.io,8,1
/plantepidemics/plantepidemics.github.io/actions,5,1
/plantepidemics/plantepidemics.github.io/tree/master/images,4,1
/plantepidemics/plantepidemics.github.io/actions/runs/8094836411,3,1
/plantepidemics/plantepidemics.github.io/actions/runs/7960608236,2,1
/plantepidemics/plantepidemics.github.io/actions/runs/7960614982,2,1
/plantepidemics/plantepidemics.github.io/actions/runs/8095313213,2,1
/plantepidemics/plantepidemics.github.io/actions/workflows/pages/pages-build-deployment,2,1
/plantepidemics/plantepidemics.github.io/blob/master/images/infection_ethiopia_stem_season.mp4,2,1
