time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-10 00:00:00+00:00,4,2,,
2024-07-11 00:00:00+00:00,1,1,,
2024-07-12 00:00:00+00:00,2,1,36.0,1.0
2024-07-14 00:00:00+00:00,2,1,,
2024-07-15 00:00:00+00:00,3,2,,
2024-07-16 00:00:00+00:00,6,2,,
2024-07-20 00:00:00+00:00,1,1,,
2024-07-22 00:00:00+00:00,3,1,,
